TSN,genus
69363,Placobdella
69375,Theromyzon
69380,Glossiphonia
69382,Marvinmeyeria
69384,Actinobdella
69388,Alboglossiphonia
69394,Oligobdella
69396,Helobdella
69416,Hirudo
69439,Dina
69444,Erpobdella
69449,Mooreobdella
69455,Nephelopsis
70305,Viviparus
70311,Campeloma
70328,Cipangopaludina
70333,Lioplax
70339,Tulotoma
70346,Valvata
70494,Hydrobia
70505,Probythinella
70509,Cincinnatia
70533,Marstonia
70603,Hoyia
70605,Fontigens
70633,Notogillia
70658,Pyrgulopsis
70666,Birgella
70702,Spilochlamys
70708,Stiobia
70712,Rhapinema
70717,Truncatella
70793,Bithynia
76477,Lanx
76484,Lymnaea
76525,Radix
76528,Pseudosuccinea
76530,Acella
76532,Bulimnaea
76534,Stagnicola
76566,Fisherola
76569,Ferrissia
76576,Laevapex
76580,Ancylus
76592,Gyraulus
76599,Helisoma
76621,Promenetus
76626,Menetus
76629,Planorbula
76632,Planorbis
76634,Amphigyra
76636,Biomphalaria
76639,Drepanotrema
76643,Micromenetus
76649,Neoplanorbis
76654,Planorbella
76673,Vorticifex
76677,Physa
76695,Aplexa
76698,Physella
76741,Stenophysa
81391,Sphaerium
81400,Pisidium
81427,Musculium
81436,Eupera
83122,Hydrachnidae
83688,Anostraca
83770,Lynceus
83781,Paralimnetis
83785,Lynceiopsis
92658,Asellus
92666,Lirceus
92667,Mancasellus
92686,Caecidotea
92780,Calasellus
92783,Remasellus
92785,Salmasellus
93773,Gammarus
93824,Metaceradocoides
93826,Metaceradocus
93836,Marinogammarus
93849,Parelasmopus
93857,Tabztzius
93859,Cheirocratus
93861,Stygobromus
93947,Synurella
93957,Bactrurus
94025,Hyalella
94028,Allorchestes
95081,Crangonyx
97337,Cambarus
97416,Faxonella
97421,Orconectes
97490,Procambarus
97603,Fallicambarus
97618,Cambarellus
97627,Distocambarus
97632,Barbicambarus
97634,Hobbseus
97641,Bouchardina
97643,Troglocambarus
99240,Podura
99547,Tullbergia
99579,Onychiurus
99639,Lophognathella
99641,Sensiphorura
99918,Hypogastrura
100051,Schaefferia
100060,Mesachorutes
100066,Triacanthella
100071,Microgastrura
100075,Stenogastrura
100077,Xenylla
100097,Acherontiella
100101,Willemia
100109,Tafallia
100114,Odontella
100128,Brachystomella
100135,Friesea
100155,Oudemansia
100158,Pseudachorutes
100181,Anurida
100207,Paranura
100214,Morulina
100226,Neanura
100756,Cloeon
100771,Pseudocloeon
100794,Heterocloeon
100800,Baetis
100801,Acentrella
100873,Centroptilum
100899,Paracloeodes
100903,Callibaetis
100936,Apobaetis
100938,Baetodes
100953,Siphlonurus
100979,Siphlonisca
100982,Parameletus
100994,Edmundsius
101468,Brachycercus
101478,Caenis
101510,Potamanthus
101597,Anax
101603,Aeshna
101633,Triacanthagyna
101634,Gomphaeschna
101637,Epiaeschna
101639,Coryphaeschna
101645,Boyeria
101648,Basiaeschna
101650,Gynacantha
101653,Nasiaeschna
101655,Oplonaeschna
101665,Gomphus
101666,Stylurus
101715,Aphylla
101718,Progomphus
101725,Erpetogomphus
101730,Dromogomphus
101734,Hagenius
101736,Octogomphus
101738,Ophiogomphus
101761,Stylogomphus
101765,Gomphoides
101766,Lanthus
101770,Arigomphus
101798,Pachydiplax
101800,Pantala
101803,Perithemis
101808,Plathemis
101811,Pseudoleon
101816,Tauriphila
101818,Tramea
101827,Williamsonia
101830,Brachymesia
101834,Brechmorhoga
101837,Cannaphila
101840,Celithemis
101851,Didymops
101854,Dorocordulia
101857,Dythemis
101865,Erythemis
101870,Erythrodiplax
101878,Helocordulia
101881,Ladona
101885,Leucorrhinia
101893,Libellula
101918,Macromia
101928,Macrothemis
101932,Nannothemis
101934,Neurocordulia
101941,Micrathyria
101945,Orthemis
101947,Somatochlora
101976,Sympetrum
102005,Tholymis
102006,Phyllothemis
102007,Macrodiplax
102009,Miathyria
102013,Idiataphe
102014,Cordulia
102016,Scapanea
102023,Crocothemis
102035,Epitheca
102048,Hetaerina
102052,Calopteryx
102059,Archilestes
102061,Lestes
102078,Ischnura
102093,Amphiagrion
102096,Telebasis
102100,Zoniagrion
102102,Enallagma
102133,Chromagrion
102135,Nehalennia
102139,Argia
102155,Coenagrion
103365,Ramphocorixa
103369,Sigara
103423,Trichocorixa
103444,Hesperocorixa
103464,Dasycorixa
103479,Corixa
103484,Corisella
103491,Palmacorixa
103501,Cenocorixa
103514,Callicorixa
103525,Cymatia
103529,Centrocorisa
103533,Morphocorixa
103541,Glaenocorisa
103547,Graptocorixa
103555,Neocorixa
103558,Notonecta
103583,Buenoa
103599,Martarega
103603,Neoplea
103608,Paraplea
103684,Belostoma
103699,Lethocerus
103703,Benacus
103717,Abedus
103748,Ranatra
103765,Nepa
103802,Rheumatobates
103811,Trepobates
103825,Halobates
103829,Gerris
103853,Limnogonus
103857,Metrobates
103872,Limnoporus
103881,Neogerris
103886,Rhagovelia
103900,Microvelia
103923,Paravelia
103931,Husseyella
103939,Hydrometra
103954,Mesovelia
103965,Hebrus
103983,Merragata
103986,Lipogomphus
104064,Chiloxanthus
104069,Pentacora
104077,Lampracanthia
104080,Salda
104093,Teloleuca
104097,Calacanthia
104100,Ioscytus
104111,Macrosaldula
104115,Micracanthia
104129,Rupisalda
104134,Saldoida
104140,Saldula
109202,Phenacoccus
109231,Cicindela
109235,Thalassotrechus
109238,Omophron
109308,Trechus
109353,Gehringia
109355,Metrius
109360,Pachyteles
109363,Carabus
109378,Calosoma
109419,Sphaeroderus
109426,Cychrus
109430,Scaphinotus
109481,Leistus
109485,Pelophila
109488,Nebria
109530,Opisthius
109532,Notiophilus
109548,Loricera
109552,Diacheila
109555,Blethisa
109561,Elaphrus
109577,Miscodera
109579,Broscodera
109581,Zacotus
109583,Morion
109586,Promecognathus
109589,Pasimachus
109602,Scarites
109609,Clivina
109636,Halocoryza
109638,Schizogenius
109660,Ardistomis
109667,Aspidoglossa
109673,Mioptachys
109675,Tachyta
109681,Elaphropus
109718,Tachys
109749,Porotachys
109751,Polyderis
109754,Micratopus
109757,Anillodes
109762,Anillinus
109775,Anillaspis
109778,Stylulus
109780,Phrypeus
109782,Asaphidion
109786,Bembidion
110102,Pogonistes
110104,Diplochaetus
110109,Perileptus
110111,Trechoblemus
110113,Pseudanophthalmus
110201,Nelsonites
110204,Neaphaenops
110206,Xenotrechus
110211,Darlingtonea
110213,Ameroduvalius
110215,Horologion
110217,Diplous
110222,Platidiolus
110224,Patrobus
110231,Platypatrobus
110233,Nomius
110235,Psydrus
110237,Sericoda
110242,Agonum
110371,Olisthopus
110378,Colpodes
110380,Platynus
110436,Anchonoderus
110439,Atranus
110441,Lachnophorus
110444,Euphorticus
110450,Myas
110453,Pterostichus
110695,Abax
110738,Pseudabarys
110740,Caelostomus
110742,Loxandrus
110809,Oxycrepis
110812,Synuchus
110818,Calathus
110842,Perigona
110847,Amara
110978,Amerinus
110982,Bradycellus
111038,Stenolophus
111104,Acupalpus
111125,Polpochila
111129,Pogonodaptus
111131,Pelmatellus
111139,Notiobia
