tsn,author,parentName,parentTsn,rankName,taxon
202423,,,,Kingdom,Animalia
914154,,Animalia,202423,Subkingdom,Bilateria
914155,,Bilateria,914154,Infrakingdom,Protostomia
914158,,Protostomia,914155,Superphylum,Ecdysozoa
82696,,Ecdysozoa,914158,Phylum,Arthropoda
563886,,Arthropoda,82696,Subphylum,Hexapoda
99208,,Hexapoda,563886,Class,Insecta
100500,,Insecta,99208,Subclass,Pterygota
563890,,Pterygota,100500,Infraclass,Neoptera
914213,,Neoptera,563890,Superorder,Holometabola
109216,"Linnaeus, 1758",Holometabola,914213,Order,Coleoptera
112747,"Emery, 1886",Coleoptera,109216,Suborder,Polyphaga
678305,"Lameere, 1938",Polyphaga,112747,Infraorder,Cucujiformia
114496,"Latreille, 1802",Cucujiformia,678305,Superfamily,Chrysomeloidea
114509,"Latreille, 1802",Chrysomeloidea,114496,Family,Chrysomelidae
719576,"Gyllenhal, 1813",Chrysomelidae,114509,Subfamily,Cassidinae
719587,"Gyllenhal, 1813",Cassidinae,719576,Tribe,Cassidini
837994,"Spaeth, 1924",Cassidini,719587,Genus,Andevocassis
839883,"(Spaeth, 1905)",Andevocassis,837994,Species,Andevocassis picta
1227978,,Neoptera,563890,Superorder,Acercaria
103359,"Linnaeus, 1758",Acercaria,1227978,Order,Hemiptera
103358,"Latreille, 1810",Hemiptera,103359,Suborder,Heteroptera
103798,,Heteroptera,103358,Infraorder,Gerromorpha
676831,"Billberg, 1820",Gerromorpha,103798,Superfamily,Hydrometroidea
103938,"Billberg, 1820",Hydrometroidea,676831,Family,Hydrometridae
717537,"Billberg, 1820",Hydrometridae,103938,Subfamily,Hydrometrinae
1008690,"Hungerford, 1939",Hydrometrinae,717537,Genus,Dolichocephalometra
1008749,"(Van Duzee, 1934)",Dolichocephalometra,1008690,Species,Dolichocephalometra pacifica
114654,"Latreille, 1802",Cucujiformia,678305,Superfamily,Curculionoidea
114666,"Latreille, 1802",Curculionoidea,114654,Family,Curculionidae
678828,"Schönherr, 1825",Curculionidae,114666,Subfamily,Dryophthorinae
616960,"Schönherr, 1838",Dryophthorinae,678828,Genus,Orthognathus
618617,"(Chevrolat, 1880)",Orthognathus,616960,Species,Orthognathus subparallelus
118831,,Holometabola,914213,Order,Diptera
130052,,Diptera,118831,Suborder,Brachycera
130130,"Wood, 1990",Brachycera,130052,Infraorder,Stratiomyomorpha
130150,"Latreille, 1802",Stratiomyomorpha,130130,Family,Stratiomyidae
130185,"Loew, 1856",Stratiomyidae,130150,Subfamily,Pachygastrinae
625666,"Walker, 1858",Pachygastrinae,130185,Genus,Adraga
626190,"James, 1948",Adraga,625666,Species,Adraga australis
626191,"Kertesz, 1916",Adraga,625666,Species,Adraga crassivena
626192,"James, 1977",Adraga,625666,Species,Adraga dimidiata
626193,"James, 1980",Adraga,625666,Species,Adraga semiglabra
626194,"James, 1980",Adraga,625666,Species,Adraga tomentosa
626195,"Walker, 1858",Adraga,625666,Species,Adraga univitta
626196,"James, 1980",Adraga,625666,Species,Adraga varipes
131750,,Brachycera,130052,Infraorder,Muscomorpha
135830,,Muscomorpha,131750,Family,Empididae
136290,,Empididae,135830,Subfamily,Hemerodromiinae
136304,,Hemerodromiinae,136290,Tribe,Hemerodromiini
136347,,Hemerodromiini,136304,Genus,Metachela
136348,"(Walker, 1849)",Metachela,136347,Species,Metachela albipes
136350,"(Melander, 1902)",Metachela,136347,Species,Metachela collusor
130155,"Westwood, 1838",Stratiomyidae,130150,Subfamily,Beridinae
625660,"Enderlein, 1921",Beridinae,130155,Genus,Eumecacis
626519,"Enderlein, 1921",Eumecacis,625660,Species,Eumecacis clavigera
914185,,Hexapoda,563886,Class,Collembola
723383,,Collembola,914185,Order,Poduromorpha
723388,,Poduromorpha,723383,Superfamily,Hypogastruroidea
99917,,Hypogastruroidea,723388,Family,Hypogastruridae
723482,"Massoud, Najt & Thibaud, 1975",Hypogastruridae,99917,Genus,Barbagastrura
724160,"Massoud, Najt & Thibaud, 1975",Barbagastrura,723482,Species,Barbagastrura palpigera
109185,,Hemiptera,103359,Suborder,Sternorrhyncha
1234349,"Fallén, 1814",Sternorrhyncha,109185,Superfamily,Coccoidea
109211,"Cockerell, 1905",Coccoidea,1234349,Family,Pseudococcidae
200924,"Williams, 1960",Pseudococcidae,109211,Genus,Laminicoccus
1272928,"Cox, 1987",Laminicoccus,200924,Species,Laminicoccus asteliae
1272929,"Cox, 1987",Laminicoccus,200924,Species,Laminicoccus eastopi
1272930,"Williams, 1985",Laminicoccus,200924,Species,Laminicoccus flandersi
200925,"(Cockerell, 1895)",Laminicoccus,200924,Species,Laminicoccus pandani
1272931,"(Mamet, 1943)",Laminicoccus,200924,Species,Laminicoccus portiludovici
1272932,"Williams and Martin, 2005",Laminicoccus,200924,Species,Laminicoccus samoanus
1272933,"(Green and Laing, 1924)",Laminicoccus,200924,Species,Laminicoccus vitiensis
678303,"Crowson, 1960",Polyphaga,112747,Infraorder,Elateriformia
113877,"Leach, 1815",Elateriformia,678303,Superfamily,Elateroidea
113835,"Rafinesque, 1815",Elateroidea,113877,Family,Lampyridae
678582,"Lacordaire, 1857",Lampyridae,113835,Subfamily,Luciolinae
1157622,"Kazanstev, 2015",Luciolinae,678582,Genus,Protoluciola
1157680,"Kazanstev, 2015",Protoluciola,1157622,Species,Protoluciola albertalleni
616955,"LeConte, 1876",Curculionidae,114666,Genus,Onychobaris
618539,"Casey, 1892",Onychobaris,616955,Species,Onychobaris ambigua
618540,"Casey, 1892",Onychobaris,616955,Species,Onychobaris arguta
618541,"Casey, 1892",Onychobaris,616955,Species,Onychobaris audax
618542,"Casey, 1892",Onychobaris,616955,Species,Onychobaris austera
618543,"Casey, 1920",Onychobaris,616955,Species,Onychobaris cernua
618544,"Casey, 1892",Onychobaris,616955,Species,Onychobaris corrosa
618545,"(LeConte, 1858)",Onychobaris,616955,Species,Onychobaris densa
618546,"Casey, 1892",Onychobaris,616955,Species,Onychobaris depressa
618547,"Casey, 1892",Onychobaris,616955,Species,Onychobaris diluta
618548,"(LeConte, 1868)",Onychobaris,616955,Species,Onychobaris distans
618549,"Casey, 1892",Onychobaris,616955,Species,Onychobaris egena
618550,"Casey, 1892",Onychobaris,616955,Species,Onychobaris ilex
618551,"Casey, 1920",Onychobaris,616955,Species,Onychobaris implicata
618552,"Casey, 1892",Onychobaris,616955,Species,Onychobaris insidiosa
618553,"Van Dyke, 1951",Onychobaris,616955,Species,Onychobaris langei
618554,"Casey, 1920",Onychobaris,616955,Species,Onychobaris liberta
618555,"Casey, 1920",Onychobaris,616955,Species,Onychobaris mansueta
618556,"Casey, 1920",Onychobaris,616955,Species,Onychobaris metuens
618557,"Casey, 1892",Onychobaris,616955,Species,Onychobaris millepora
618558,"Casey, 1892",Onychobaris,616955,Species,Onychobaris molesta
618559,"Casey, 1892",Onychobaris,616955,Species,Onychobaris mystica
618560,"Casey, 1920",Onychobaris,616955,Species,Onychobaris oblita
618561,"Casey, 1892",Onychobaris,616955,Species,Onychobaris pauperella
618562,"LeConte, 1876",Onychobaris,616955,Species,Onychobaris pectorosa
618563,"Casey, 1920",Onychobaris,616955,Species,Onychobaris perita
618564,"Casey, 1920",Onychobaris,616955,Species,Onychobaris perversa
618565,"Casey, 1920",Onychobaris,616955,Species,Onychobaris pollens
618566,"Casey, 1892",Onychobaris,616955,Species,Onychobaris porcata
618567,"Casey, 1892",Onychobaris,616955,Species,Onychobaris remota
618568,"Linell, 1897",Onychobaris,616955,Species,Onychobaris rufa
618569,"(LeConte, 1857)",Onychobaris,616955,Species,Onychobaris seriata
618570,"Casey, 1892",Onychobaris,616955,Species,Onychobaris stictica
618571,"LeConte, 1876",Onychobaris,616955,Species,Onychobaris subtonsa
837920,"Chapuis, 1875",Cassidinae,719576,Tribe,Aspidimorphini
837988,"Spaeth, 1909",Aspidimorphini,837920,Genus,Hybosinota
839775,"(Boheman, 1854)",Hybosinota,837988,Species,Hybosinota nodulosa
839776,"(Boheman, 1862)",Hybosinota,837988,Species,Hybosinota turrigera
136824,,Muscomorpha,131750,Family,Dolichopodidae
136825,,Dolichopodidae,136824,Subfamily,Sciapodinae
136835,,Sciapodinae,136825,Genus,Condylostylus
136836,"(Walker, 1849)",Condylostylus,136835,Species,Condylostylus albicoxa
136838,"(Van Duzee, 1915)",Condylostylus,136835,Species,Condylostylus banksii
136840,"(Loew, 1861)",Condylostylus,136835,Species,Condylostylus bicolor
136842,"Van Duzee, 1915",Condylostylus,136835,Species,Condylostylus bradleii
136843,"Robinson, 1964",Condylostylus,136835,Species,Condylostylus brimleyi
136844,"(Loew, 1861)",Condylostylus,136835,Species,Condylostylus calcaratus
136846,"(Wiedemann, 1830)",Condylostylus,136835,Species,Condylostylus caudatus
136850,"(Van Duzee, 1914)",Condylostylus,136835,Species,Condylostylus chalybeus
136852,"(Walker, 1849)",Condylostylus,136835,Species,Condylostylus chrysoprasi
136855,"(Van Duzee, 1929)",Condylostylus,136835,Species,Condylostylus clavatus
136857,"Van Duzee, 1932",Condylostylus,136835,Species,Condylostylus coloradensis
136858,"(Curran, 1942)",Condylostylus,136835,Species,Condylostylus connectans
136860,"(Aldrich, 1904)",Condylostylus,136835,Species,Condylostylus costalis
136862,"Becker, 1922",Condylostylus,136835,Species,Condylostylus debilis
136863,"(Walker, 1849)",Condylostylus,136835,Species,Condylostylus delicatus
136867,"(Loew, 1862)",Condylostylus,136835,Species,Condylostylus dimidiatus
136869,"Van Duzee, 1933",Condylostylus,136835,Species,Condylostylus divergens
136870,"(Loew, 1866)",Condylostylus,136835,Species,Condylostylus dorsalis
136872,"Becker, 1922",Condylostylus,136835,Species,Condylostylus erectus
136873,"(Say, 1823)",Condylostylus,136835,Species,Condylostylus femoratus
136875,"(Aldrich, 1904)",Condylostylus,136835,Species,Condylostylus flavipes
136877,"(Van Duzee, 1915)",Condylostylus,136835,Species,Condylostylus furcatus
136879,"Van Duzee, 1933",Condylostylus,136835,Species,Condylostylus fusitarsis
136880,"(Van Duzee, 1927)",Condylostylus,136835,Species,Condylostylus graenicheri
136883,"(Loew, 1861)",Condylostylus,136835,Species,Condylostylus inermis
136885,"(Aldrich, 1901)",Condylostylus,136835,Species,Condylostylus inornatus
136887,"(Loew, 1861)",Condylostylus,136835,Species,Condylostylus juncundus
136889,"(Van Duzee, 1915)",Condylostylus,136835,Species,Condylostylus leonardi
136891,"(Van Duzee, 1923)",Condylostylus,136835,Species,Condylostylus longitalus
136893,"(Loew, 1862)",Condylostylus,136835,Species,Condylostylus melampus
136895,"(Wiedemann, 1830)",Condylostylus,136835,Species,Condylostylus mundus
136898,"(Walker, 1849)",Condylostylus,136835,Species,Condylostylus nigrofemoratus
136902,"(Van Duzee, 1915)",Condylostylus,136835,Species,Condylostylus noveboracensis
136904,"(Bigot, 1888)",Condylostylus,136835,Species,Condylostylus occidentalis
136907,"(Malloch, 1932)",Condylostylus,136835,Species,Condylostylus ogilvii
136909,"(Van Duzee, 1927)",Condylostylus,136835,Species,Condylostylus parvicauda
136911,"(Say, 1823)",Condylostylus,136835,Species,Condylostylus patibulatus
136915,"(Macquart, 1834)",Condylostylus,136835,Species,Condylostylus portoricensis
136917,"Gunther, 1982",Condylostylus,136835,Species,Condylostylus quintusflavus
136918,"(Macquart, 1834)",Condylostylus,136835,Species,Condylostylus radians
136920,"(Van Duzee, 1929)",Condylostylus,136835,Species,Condylostylus semicomatus
136922,"(Aldrich, 1901)",Condylostylus,136835,Species,Condylostylus similis
136924,"(Say, 1823)",Condylostylus,136835,Species,Condylostylus sipho
136928,"(Aldrich, 1901)",Condylostylus,136835,Species,Condylostylus tonsus
136930,Say,Condylostylus,136835,Species,Condylostylus unifasciatus
136932,"(Aldrich, 1904)",Condylostylus,136835,Species,Condylostylus viridicoxa
136934,"Parent, 1929",Condylostylus,136835,Species,Condylostylus viridis
136361,,Empididae,135830,Subfamily,Oreogetoninae
136390,,Oreogetoninae,136361,Genus,Ragas
136391,"Melander, 1945",Ragas,136390,Species,Ragas primigenia
109226,"Schellenberg, 1806",Coleoptera,109216,Suborder,Adephaga
109234,"Latreille, 1802",Adephaga,109226,Family,Carabidae
678416,"Bonelli, 1810",Carabidae,109234,Subfamily,Harpalinae
931390,"Bonelli, 1810",Harpalinae,678416,Tribe,Licinini
111418,"Latreille, 1802",Licinini,931390,Genus,Licinus
111419,"(Rossi, 1790)",Licinus,111418,Species,Licinus silphoides
837993,"Spaeth, 1922",Cassidini,719587,Genus,Aethiopocassis
839852,"Spaeth, 1926",Aethiopocassis,837993,Species,Aethiopocassis angolensis
839853,"(Weise, 1912)",Aethiopocassis,837993,Species,Aethiopocassis cinctidorsum
839856,"(Weise, 1919)",Aethiopocassis,837993,Species,Aethiopocassis ertli
839857,"(Spaeth, 1924)",Aethiopocassis,837993,Species,Aethiopocassis flaccida
839858,"(Spaeth, 1906)",Aethiopocassis,837993,Species,Aethiopocassis fugax
839859,"(Spaeth, 1906)",Aethiopocassis,837993,Species,Aethiopocassis gallarum
839860,"(Spaeth, 1924)",Aethiopocassis,837993,Species,Aethiopocassis imbuta
839861,"(Spaeth, 1933)",Aethiopocassis,837993,Species,Aethiopocassis kasaiensis
839862,"(Weise, 1898)",Aethiopocassis,837993,Species,Aethiopocassis kraatzi
839865,"(Weise, 1898)",Aethiopocassis,837993,Species,Aethiopocassis pauli
839866,"(Spaeth, 1916)",Aethiopocassis,837993,Species,Aethiopocassis plagipennis
839867,"(Spaeth, 1933)",Aethiopocassis,837993,Species,Aethiopocassis planipennis
839868,"(Spaeth, 1906)",Aethiopocassis,837993,Species,Aethiopocassis punctipennis
839869,"(Spaeth, 1916)",Aethiopocassis,837993,Species,Aethiopocassis quadrioculata
839870,"(Spaeth, 1906)",Aethiopocassis,837993,Species,Aethiopocassis revulsa
839871,"(Spaeth, 1924)",Aethiopocassis,837993,Species,Aethiopocassis rhodesiana
839872,"(Spaeth, 1924)",Aethiopocassis,837993,Species,Aethiopocassis scita
839873,"(Fabricius, 1798)",Aethiopocassis,837993,Species,Aethiopocassis scripta
839874,"(Spaeth, 1924)",Aethiopocassis,837993,Species,Aethiopocassis sensualis
839875,"(Spaeth, 1906)",Aethiopocassis,837993,Species,Aethiopocassis silphoides
839876,"(Spaeth, 1910)",Aethiopocassis,837993,Species,Aethiopocassis sjoestedti
839877,"(Weise, 1904)",Aethiopocassis,837993,Species,Aethiopocassis sparsuta
839878,"(Spaeth, 1916)",Aethiopocassis,837993,Species,Aethiopocassis steindachneri
839879,"(Harold, 1879)",Aethiopocassis,837993,Species,Aethiopocassis stictica
839880,"(Weise, 1899)",Aethiopocassis,837993,Species,Aethiopocassis suahelorum
